company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ABB,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ABB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ABB,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
ABB,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ABB,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ABB,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ABB,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
ADANIENSOL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIENSOL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIENSOL,con,CON-01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,80
ADANIENSOL,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
ADANIENSOL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
ADANIENT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIENT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ADANIENT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
ADANIENT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIENT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ADANIENT,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80
ADANIENT,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
ADANIGREEN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIGREEN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,80
ADANIGREEN,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
ADANIPORTS,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIPORTS,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIPORTS,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPORTS,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
